,0,1
125,2018-06-24 23:08:51+00:00,"I done lost a couple people I thought were gonna be in my life forever…so trust me when i tell you, i don’t need you."
126,2018-06-24 23:07:38+00:00,"oh ok"" actually means my heart just got ripped into a million pieces but i won't tell you because you wouldn’t care how i feel anyway"
127,2018-06-24 23:04:40+00:00,"i might get pissed for a minute but i’ll never abandon you, i don’t leave people, & i think that’s why it hurts so bad when people leave me."
128,2018-06-22 22:02:08+00:00,"missing someone is prob one of the worst feelings. you’ll see something funny or cool that you want to show them, then you’ll suddenly remember that you no longer talk"
129,2018-06-22 21:53:58+00:00,You can’t rush something if you want it to last forever. 
130,2018-06-22 21:51:43+00:00,Do you ever look at someone and wanna cry because they mean that much to you? 
131,2018-06-22 21:50:26+00:00,"i might get pissed for a minute but i’ll never abandon you, i don’t leave people, & i think that’s why it hurts so bad when people leave me."
132,2018-06-22 21:50:13+00:00,"i got attached to somebody i could lose, that's where i went wrong"
133,2018-06-19 18:56:40+00:00,"Reasons why I think x might be alive •There was no blood on his chest •His new album is called ""no pulse"" and I heard ""no pulse"" on the video •His manager hasn't confirmed his death •He already faked his death once •The tree on his forhead wasnt on his forhead on the video"
134,2018-05-22 23:20:27+00:00,Follow my soundcloud if you real supporter please . https://soundcloud.com/user-lilscars/vv-lil-scars
135,2018-05-22 23:19:37+00:00,Get me to 150 followers click the link please phttps://soundcloud.com/user-lilscars/vv-lil-scars
136,2018-05-22 23:16:29+00:00,"if you break someone and they still wish you the best, you've lost the greatest thing for you"
137,2018-05-22 23:16:18+00:00,If you’re taken comment “ ” If you’re single comment “ ”
138,2018-05-22 23:15:49+00:00,Like if your a lil ugly
139,2018-05-22 23:15:38+00:00,Like if you’re single.
140,2018-05-22 00:54:30+00:00,my dumb ass be loyal before the relationship even start 
141,2018-05-22 00:29:06+00:00,Stop chasing after people & being the only one trying to fix everything. It’s mentally & physically exhausting. You have to find peace with whoever comes & goes from your life. Don’t be the only one putting in effort Bc you will end up losing yourself trying to save everyone else
142,2018-05-12 18:14:23+00:00,Just dropped a new song y’all go spam it and follow my SoundCloud we up next https://soundcloud.com/user-lilscars/vv-lil-scars
143,2018-05-02 06:26:21+00:00,Click the link in my bio for my new song like and follow my SoundCloud https://soundcloud.com/user-lilscars/tokyo-lil-scars-prod-yung-pluto-kvng-zuzi
144,2018-04-19 03:39:00+00:00,If I don’t fuck with you anymore just make sure you tell the real story or don’t say nothing at all.
145,2018-04-19 03:38:43+00:00,"missing someone is prob one of the worst feelings. you’ll see something funny or cool that you want to show them, then you’ll suddenly remember that you no longer talk"
146,2018-04-16 06:08:25+00:00,Click the link in my bio spam my new song and follow my SoundCloud https://soundcloud.com/user-lilscars/hop-in-the-whip-lil-scars
147,2018-04-02 04:13:17+00:00,"I’m a failure. At school, outside of school... everywhere I go. I’m the dumb, ugly and fucked up friend. The friend everyone replaces after a while."
148,2018-04-02 04:12:58+00:00,"Being single doesn’t mean you’re not good enough to be with the right person, it means you’re just too good to be with the wrong one."
149,2018-04-02 04:12:41+00:00,"You want my password? Have it. You want to go look through my phone? Go head. You wanna stay in and cuddle? I’m there. You don’t like him/her? I won’t talk to him/her. I’ll stay faithful to you 100% I got nothing to hide from you, but I expect the same 100% back... "
150,2018-04-01 19:48:44+00:00,"my heart constantly hurts so much to the point that when people keep on hurting me, i just find myself walking away. i was tired of it, i wanted happiness but if this is love, then i don't want it"
151,2018-03-31 01:47:27+00:00,i need someone in my life who cares about me as much as i care about them because i'm so tired of always being the one who cares more 
152,2018-03-31 01:46:09+00:00,I don't understand how someone can tell so many lies & never feel bad about it. 
153,2018-02-25 16:05:04+00:00,I hate the fact that you left me and replaced me for someone who could care less about you when i was willing to do anything and everything for you
154,2018-02-25 16:04:38+00:00,nothing is more attractive than someone who's down for you and only you and shows you that without hesitation
155,2018-02-23 00:24:25+00:00,I just can’t lose you.
156,2018-02-19 22:15:42+00:00,Stop chasing after people & being the only one trying to fix everything. It’s mentally & physically exhausting. You have to find peace with whoever comes & goes from your life. Don’t be the only one putting in effort Bc you will end up losing yourself trying to save everyone else
157,2018-02-19 22:15:18+00:00,you left i cried you felt fine i was dying you were my air i couldn't breathe you said goodbye i was still holding on to hello
158,2018-02-12 01:56:44+00:00,"i think there is something broken in our generation, there are so many sad eyes on happy faces."
159,2018-02-12 01:56:31+00:00,depression is being lonely in a room full of people depression is being constantly tired but never able to sleep depression is smiling to hide the pain inside depression is when the soul dies but the body keeps on going depression is forgetting who you used to be.
160,2018-02-12 01:54:55+00:00,How tall are y’all? 
161,2018-02-08 01:42:25+00:00,Then name one reason why y’all single. 
162,2018-02-08 01:39:31+00:00,"$4M dollars in cash to slap the last person you texted, who you slapping? #tagthem"
163,2018-02-01 05:10:33+00:00,"being ignored by someone whose attention means the world to you is the worst feeling, and you start to overthink everything."
164,2018-02-01 05:09:44+00:00,"if you repeatedly have to tell someone the exact same thing about how you feel and nothing changes, they don’t respect you"
165,2018-01-28 22:27:30+00:00,"boy: goodbye girl: why? boy: i found someone better girl: i found someone too, but I closed my eyes just to stay with you"
166,2018-01-28 22:26:30+00:00,9 Things to quit: 1. Trying to please everyone 2. Fearing change 3. Living in the past 4. Overthinking 5. Being afraid to be different 6. Beating yourself up over mistakes 7. Sacrificing your happiness for others 8. Thinking you're not good enough 9. Thinking you have no purpose
167,2018-01-21 01:55:31+00:00,i got mad love for you
168,2018-01-14 23:21:54+00:00,"I like clingy. i like double texts, phone calls, good morning & goodnight texts. i like knowing someone cares. i like knowing they try."
169,2018-01-14 23:20:35+00:00,"Im officially done trying. If you want me in your life, you can come find me. Until then, continue treating me like I dont exist."
170,2018-01-14 23:11:19+00:00,"Memories stay, people don’t."
171,2018-01-12 03:03:54+00:00,"I don't care about losing people who don't wanna be in my life anymore, I've lost people who meant the world to me and I'm doing just fine."
172,2018-01-12 03:03:43+00:00,You said you were afraid to lose me. then you faced your fears and left.
173,2018-01-08 02:01:36+00:00,No shade but there's a few people I’m glad I’m not close to anymore.
174,2018-01-08 02:01:16+00:00,Don't lose a boy that has seen your flaws and still loves you. 
175,2018-01-06 02:15:24+00:00,Kinda annoying when you're excited to talk to someone and you don't feel the same energy back.
176,2018-01-06 02:14:57+00:00,You deserve someone that’ll thank God everyday for you. someone that’ll treat you like a blessing & not a burden. someone that makes you consistently laugh & is there to wipe your tears away. someone that shows you how much they love you instead of just saying it. don’t settle
177,2018-01-02 04:44:40+00:00,Nothing hurts more than being disappointed by the person you thought would never hurt you.
178,2018-01-02 04:44:06+00:00,"When you give up on someone, it's not because you don't care anymore, it's because you realize they don't."
179,2017-12-26 19:35:56+00:00,Nothing hurts more than being disappointed by the person you thought would never hurt you.
180,2017-12-26 19:35:30+00:00,imagine being with someone who makes u & ur happiness 1 of their top priorities. someone who’ll do anything & everything for u. someone who’ll always have ur back & be there for u thru thick & thin. someone who u just randomly smile at bc u know they love u as much as u love them
181,2017-12-10 22:32:39+00:00,"Pain changes people, it makes them trust less, overthink more, and shut people out."
182,2017-12-10 22:31:17+00:00,"i used to be so afraid of losing ppl, until i realized most of them were never really down for me in the first place. even tho my loyalty & love for them ran deep, they could careless. so instead of being afraid of losing them, i fell back & watched them lose me... wow, growth"
183,2017-12-03 02:23:09+00:00,"Theres just something about you I'm scared to lose, because I know I won't find it in anyone else."
184,2017-12-03 02:22:32+00:00,"I do shit for me, i ain't tryna impress nobody but me."
185,2017-10-05 00:06:46+00:00,"I don't care about losing people who don't wanna be in my life anymore, I've lost people who meant the world to me and I'm doing just fine."
186,2017-10-05 00:06:32+00:00,"theres just something about you I'm scared to lose, because I know I won't find it in anyone else"
187,2017-10-04 02:54:42+00:00,Always remember that God will never take anything away from you without the intention of replacing it with something better
188,2017-10-04 02:54:05+00:00,Why do we try so hard for people who don’t try for us. 
189,2017-10-03 00:46:25+00:00,if you... choose... to leave someone's life... stay out... don't continuously pop in and out
190,2017-10-03 00:45:42+00:00,people ask me why is it so hard to trust people? i ask why is it so hard to keep a promise?
